Position,Titel,Besetzung,Tempo,Tonart,Kommentar
1,It dont mean a thing,Tenorsax & Posaune,180,Gm,
2,Comes love,Tenorsax & Posaune,135,D,
3,Take the a train,Tenorsax & Posaune,170,C,
4,Beautiful love,Tenorsax & Posaune,220,Dm,
5,Blue monk,Tenorsax & Posaune,60,Bb,Ansatz
6,Moonglow,Tenorsax,115,G,
7,Autumn leaves,Tenorsax & Posaune,150,Dm,
8,Mack the knife,Tenorsax & Posaune,170,Bb,Ansatz
9,Flying home,Tenorsax,200,Eb,
10,Pink panther,Tenorsax & Posaune,100,Em,
11,La vie en rose,Posaune,130,E,Ansatz
12,Bluedrag,Tenorsax & Posaune,160,Dm,
13,Putting on the ritz,Tenorsax & Posaune,180,F,
14,Blues walk,Tenorsax & Posaune,200,Fm,
15,Dont get around much anymore,Tenorsax & Posaune,120,C,
16,Blues my naughty sweety,Tenorsax & Posaune,140,Gm,
17,Richards song,Tenorsax & Posaune,190,A,
18,Honeysuckle rose,Unbekannt,200,F,
19,I am getting sentimental,Posaune,110,D,Ansatz
20,All of me,Tenorsax & Posaune,150,C,
21,Lullaby of birdland,Altsax,140,Fm,
22,Softly,Altsax,130,Cm,
23,Summertime,Altsax,60,Dm,
24,I wanna be like you,Tenorsax & Posaune,200,Eb,
25,Blue skies,Tenorsax & Posaune,115,C,
26,Dark eyes,Tenorsax & Posaune,250,Dm,
27,Caravan,Tenorsax & Posaune,270,Am,
