title,melody-instruments,tempo,key,embouchure,sax,position
It dont mean a thing,2,180,Gm,0,0,1
Blue skies,2,115,C,0,0,2
All of me,2,150,C,0,0,3
Flying home,1,200,Eb,0,0,4
Blue monk,2,60,Bb,1,0,5
Moonglow,1,115,G,0,0,6
Bluedrag,2,160,Dm,0,0,7
Beautiful love,2,220,Dm,0,0,8
Lullaby of birdland,1,140,Fm,0,1,9
I am getting sentimental,1,110,D,1,0,10
Putting on the ritz,2,180,F,0,0,11
Summertime,1,60,Dm,0,1,12
Autumn leaves,2,150,Dm,0,0,13
Honeysuckle rose,1,200,F,0,0,14
Dont get around much anymore,2,120,C,0,0,15
Blues my naughty sweety,2,140,Gm,0,0,16
Mack the knife,2,170,Bb,1,0,17
I wanna be like you,2,200,Eb,0,0,18
Pink panther,2,100,Em,0,0,19
La vie en rose,1,130,E,1,0,20
Take the a train,2,170,C,0,0,21
Richards song,2,190,A,0,0,22
Blues walk,2,200,Fm,0,0,23
Softly,1,130,Cm,0,1,24
Comes love,2,135,D,0,0,25
Dark eyes,2,250,Dm,0,0,26
Caravan,2,270,Am,0,0,27
